TOTAL ROWS = 44
LOCATIONS
Caerphilly, Wales 	3
Canada 	3
London 	3
Indonesia 	2
South West, England 	2
United States 	2
Atlanta, GA 	1
Austin, TX 	1
Back from the land of the ban. 	1
Brampton, Ontario 	1
Bristol, England 	1
Brooklyn, NYC 	1
Civitavecchia 	1
East, England 	1
Europe 	1
Florida, USA 	1
GCC gcchashtag@gmail.com 	1
Great Britain wolves 	1
Guayaquil, Ecuador 	1
Ironbridge 	1
Liverpool, UK 	1
London, England 	1
Madrid, Comunidad de Madrid 	1
Minneapolis or so 	1
My Mind 	1
NE 	1
New York City 	1
Ohio, USA 	1
Ontario. Canada 	1
Peterborough, England 	1
Pontevedra - Galiza 	1
Pune, India 	1
Roseville, CA 	1
SC 	1
SKWIM WA 98382 	1
Tijuana 	1
Toronto, Canada 	1
Wales, United Kingdom 	1
Warri, Nigeria 	1
Washington State 	1
Washington, D.C. 	1
YUL 	1
co durham 	1
near Catslick 	1
